pair_id,arm,seed,model,data,epochs,imgsz,batch,optimizer,lr0,pretrained,deterministic,foundation_enabled,teacher,level,align_dim,loss,loss_weight,status,claim
p1-s17,off,17,yolo26-master-n,coco128,10,256,4,SGD,0.01,false,true,false,none,p4,64,cosine,0.0,planned,no_accuracy_claim
p1-s17,on,17,yolo26-master-n,coco128,10,256,4,SGD,0.01,false,true,true,facebook/dinov3-vits16-pretrain-lvd1689m,p4,64,cosine,0.05,planned,no_accuracy_claim
p1-s29,off,29,yolo26-master-n,coco128,10,256,4,SGD,0.01,false,true,false,none,p4,64,cosine,0.0,planned,no_accuracy_claim
p1-s29,on,29,yolo26-master-n,coco128,10,256,4,SGD,0.01,false,true,true,facebook/dinov3-vits16-pretrain-lvd1689m,p4,64,cosine,0.05,planned,no_accuracy_claim
p1-s43,off,43,yolo26-master-n,coco128,10,256,4,SGD,0.01,false,true,false,none,p4,64,cosine,0.0,planned,no_accuracy_claim
p1-s43,on,43,yolo26-master-n,coco128,10,256,4,SGD,0.01,false,true,true,facebook/dinov3-vits16-pretrain-lvd1689m,p4,64,cosine,0.05,planned,no_accuracy_claim
