epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,141.547,3.44868,4.98092,0.0685,1.61781,0.0007,0.04202,3e-05,0,3.79875,353.604,0.12517,0,0.00332046,0.00332046,0.0701158,0.00166023,0.00664093
2,288.108,3.37033,4.86345,0.0657,1.02204,0.00046,0.02853,0.00014,3e-05,3.24682,5.03861,0.07697,0,0.00663733,0.00663733,0.0400994,0.00331866,0.0132747
3,430.568,2.54183,4.26592,0.04268,0.99531,0.00297,0.25623,0.00171,0.00044,2.60293,16.8752,0.0551,0,0.00993769,0.00993769,0.0100664,0.00496885,0.0198754
4,580.439,2.1591,3.80059,0.03291,0.99347,0.28764,0.05292,0.02975,0.0105,2.31246,3.8346,0.04643,0,0.00992575,0.00992575,0.00992575,0.00496288,0.0198515
5,731.926,2.00116,3.47591,0.02958,0.99329,0.25742,0.10373,0.0653,0.02972,2.02736,3.44028,0.03825,0,0.009901,0.009901,0.009901,0.0049505,0.019802
6,883.811,1.92004,3.27254,0.02789,0.99497,0.19685,0.12228,0.07329,0.0324,2.09151,3.39108,0.03952,0,0.00987625,0.00987625,0.00987625,0.00493813,0.0197525
7,1035.86,1.86384,3.10732,0.02694,0.99476,0.27237,0.15523,0.09687,0.04881,1.92776,3.13417,0.03533,0,0.0098515,0.0098515,0.0098515,0.00492575,0.019703
8,1186.82,1.8349,2.99074,0.02614,0.99545,0.21815,0.203,0.13831,0.06905,1.87627,2.90835,0.03426,0,0.00982675,0.00982675,0.00982675,0.00491338,0.0196535
9,1339.46,1.80495,2.91043,0.02567,0.99583,0.22033,0.19473,0.13418,0.06672,1.91852,2.95143,0.03527,0,0.009802,0.009802,0.009802,0.004901,0.019604
10,1491.6,1.78317,2.84665,0.0252,0.99589,0.23012,0.19906,0.14779,0.07491,1.87718,2.88865,0.03415,0,0.00977725,0.00977725,0.00977725,0.00488863,0.0195545
11,1642.35,1.76726,2.78827,0.0248,0.99613,0.29694,0.24055,0.1888,0.0989,1.79325,2.70272,0.032,0,0.0097525,0.0097525,0.0097525,0.00487625,0.019505
