epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,6.38035,3.65065,5.88375,0.06753,2.98794,0.34724,0,0,0,0,3.60023,5.82386,0.067,0,0,0.347236,0,0.347236,0,0.347236,0.0221074,0.25,0.25,0,1,0.0031,0.0031,0.0721,0.00155,0.0062
2,12.7794,3.56245,5.87885,0.06574,2.25792,0.34828,0,0,0,0,3.60167,5.82415,0.0672,0,0,0.348281,0,0.348281,0,0.348281,0.0233426,0.25,0.25,0,1,0.0056763,0.0056763,0.0426763,0.00283815,0.0113526
3,19.1574,3.65147,5.97117,0.06334,1.67238,0.34159,0,0,0,0,3.60534,5.82163,0.06727,0,0,0.341591,0,0.341591,0,0.341591,0.0234997,0.25,0.25,0,1,0.007619,0.007619,0.012619,0.0038095,0.015238
4,25.8479,3.71912,5.94091,0.06642,1.40982,0.34646,0,0,0,0,3.61431,5.82039,0.06737,0,0,0.346463,0,0.346463,0,0.346463,0.0242153,0.25,0.25,0,1,0.00703,0.00703,0.00703,0.003515,0.01406
5,32.6567,3.60437,5.90192,0.06531,1.27006,0.33895,0.00014,0.00246,0,0,3.76747,8.59944,0.07357,0,0,0.338953,0,0.338953,0,0.338953,0.0242176,0.25,0.25,0,1,0.00604,0.00604,0.00604,0.00302,0.01208
6,39.2676,3.60939,5.95871,0.06321,1.18517,0.35123,5e-05,0.00475,0,0,3.78993,323.99,0.09068,0,0,0.351228,0,0.351228,0,0.351228,0.0251221,0.25,0.25,0,1,0.00505,0.00505,0.00505,0.002525,0.0101
7,46.0531,3.64962,5.92587,0.06738,1.12085,0.33928,0.05652,0.0119,2e-05,0,4.00422,1932.07,0.12316,0,0,0.339279,0,0.339279,0,0.339279,0.0243375,0.25,0.25,0,1,0.00406,0.00406,0.00406,0.00203,0.00812
8,52.8668,3.68068,5.969,0.06823,1.08546,0.33916,0.00027,0.01176,2e-05,0,4.04765,1781.04,0.11957,0,0,0.339157,0,0.339157,0,0.339157,0.0242257,0.25,0.25,0,1,0.00307,0.00307,0.00307,0.001535,0.00614
9,59.6526,3.65424,5.92967,0.06632,1.06309,0.33171,0.02853,0.011,0.0001,6e-05,3.81601,488.959,0.09175,0,0,0.331706,0,0.331706,0,0.331706,0.0239587,0.25,0.25,0,1,0.00208,0.00208,0.00208,0.00104,0.00416
10,66.4329,3.56312,5.98721,0.06356,1.04703,0.34234,0.00022,0.00481,1e-05,0,3.76891,219.814,0.08122,0,0,0.342339,0,0.342339,0,0.342339,0.0247353,0.25,0.25,0,1,0.00109,0.00109,0.00109,0.000545,0.00218
