epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,99.5267,3.41901,5.16805,0.06735,1.61902,0.00084,0.00497,1e-05,0,3.30971,21.0844,0.07822,0,0.00332046,0.00332046,0.0701158,0.00166023,0.00664093
2,236.754,3.18213,4.78337,0.06034,1.01892,0.00309,0.08682,0.00101,0.00021,2.74588,5.08454,0.06179,0,0.00663733,0.00663733,0.0400994,0.00331866,0.0132747
3,367.176,2.28246,4.09861,0.03639,0.99632,0.02928,0.04037,0.00876,0.003,2.28436,5.1237,0.0452,0,0.00993769,0.00993769,0.0100664,0.00496885,0.0198754
4,508.463,2.04683,3.62623,0.03039,0.99406,0.20118,0.06752,0.03474,0.01344,2.17297,3.82686,0.04251,0,0.00992575,0.00992575,0.00992575,0.00496288,0.0198515
5,645.958,1.93002,3.36427,0.02803,0.99422,0.22189,0.13363,0.07532,0.03486,1.93962,3.36635,0.03584,0,0.009901,0.009901,0.009901,0.0049505,0.019802
6,787.295,1.86998,3.17692,0.02689,0.99499,0.26722,0.16446,0.09662,0.04593,1.94877,3.23,0.03613,0,0.00987625,0.00987625,0.00987625,0.00493813,0.0197525
7,943.682,1.82211,3.04202,0.02619,0.99556,0.29909,0.17553,0.11906,0.05697,1.88965,2.98932,0.03477,0,0.0098515,0.0098515,0.0098515,0.00492575,0.019703
8,1101.05,1.79997,2.93076,0.02551,0.99538,0.26793,0.22374,0.15919,0.08088,1.83007,2.84567,0.0334,0,0.00982675,0.00982675,0.00982675,0.00491338,0.0196535
9,1260.33,1.77448,2.85362,0.02517,0.996,0.22604,0.22826,0.16242,0.08353,1.81631,2.86705,0.03272,0,0.009802,0.009802,0.009802,0.004901,0.019604
10,1419.82,1.75171,2.78852,0.02472,0.99627,0.29218,0.25572,0.19526,0.10229,1.78224,2.62902,0.03208,0,0.00977725,0.00977725,0.00977725,0.00488863,0.0195545
11,1578.42,1.74034,2.73038,0.02435,0.99583,0.29942,0.25235,0.20285,0.10522,1.81194,2.65227,0.03258,0,0.0097525,0.0097525,0.0097525,0.00487625,0.019505
12,1734.35,1.72309,2.66878,0.02406,0.99606,0.33508,0.28447,0.23256,0.12558,1.73426,2.50311,0.031,0,0.00972775,0.00972775,0.00972775,0.00486388,0.0194555
13,1888.35,1.70365,2.63133,0.02367,0.99658,0.32563,0.29245,0.24148,0.13224,1.73457,2.51765,0.03079,0,0.009703,0.009703,0.009703,0.0048515,0.019406
14,2039.17,1.68831,2.58617,0.0236,0.99648,0.34075,0.2979,0.24906,0.13665,1.71214,2.42961,0.03027,0,0.00967825,0.00967825,0.00967825,0.00483913,0.0193565
15,2189.8,1.68053,2.55068,0.02326,0.99651,0.35366,0.31262,0.26817,0.14967,1.67829,2.35878,0.02943,0,0.0096535,0.0096535,0.0096535,0.00482675,0.019307
16,2339.38,1.67654,2.52072,0.02308,0.9965,0.34697,0.31448,0.27406,0.154,1.68862,2.35119,0.02978,0,0.00962875,0.00962875,0.00962875,0.00481438,0.0192575
