epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,train/foundation_p3_loss,train/foundation_p4_loss,train/foundation_p5_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,202.814,3.41957,4.98771,0.06725,1.61904,46.6823,0.00092,0.01364,3e-05,0,3.30242,6.49119,0.07815,0,0,46.6823,0,46.6823,0,0.269591,0.251802,2.70949,2.70949,0,1,51.9174,45.9431,42.1863,0.00332046,0.00332046,0.0701158,0.00166023,0.00664093
2,431.754,3.29809,4.83952,0.06353,1.0217,30.2787,0.00072,0.04177,0.00018,4e-05,3.14959,5.07732,0.0762,0,0,30.2787,0,30.2787,0,0.17479,0.17048,2.70949,2.70949,0,1,34.012,30.3971,26.4271,0.00663733,0.00663733,0.0400994,0.00331866,0.0132747
3,666.01,2.54542,4.3188,0.04301,0.99823,20.0424,0.00621,0.04646,0.0018,0.0005,2.5127,6.42386,0.05309,0,0,20.0424,0,20.0424,0,0.115746,0.145529,2.70949,2.70949,0,1,21.4653,20.742,17.9198,0.00993769,0.00993769,0.0100664,0.00496885,0.0198754
4,898.107,2.19201,3.92598,0.0339,0.99498,17.8178,0.00312,0.26024,0.0014,0.00046,2.75753,4154.04,0.08756,0,0,17.8178,0,17.8178,0,0.1029,0.147412,2.70949,2.70949,0,1,19.3326,18.5387,15.5819,0.00992575,0.00992575,0.00992575,0.00496288,0.0198515
5,1122.83,2.04444,3.65482,0.03068,0.99632,16.3502,0.18007,0.04677,0.02978,0.01112,2.19884,3.95578,0.0429,0,0,16.3502,0,16.3502,0,0.0944309,0.145135,2.70949,2.70949,0,1,17.5701,17.1303,14.3503,0.009901,0.009901,0.009901,0.0049505,0.019802
6,1333,1.96712,3.44899,0.02908,0.99626,15.671,0.08064,0.06166,0.01399,0.00598,2.19841,72.6084,0.04773,0,0,15.671,0,15.671,0,0.0905022,0.146229,2.70949,2.70949,0,1,16.8139,16.4628,13.7363,0.00987625,0.00987625,0.00987625,0.00493813,0.0197525
7,1545.48,1.90973,3.31085,0.02807,0.99766,15.2366,0.08406,0.11679,0.04254,0.0175,2.03587,3.8616,0.03867,0,0,15.2366,0,15.2366,0,0.0879989,0.147432,2.70949,2.70949,0,1,16.2914,16.0717,13.3469,0.0098515,0.0098515,0.0098515,0.00492575,0.019703
8,1751.37,1.88774,3.19725,0.02735,0.99542,14.8375,0.12524,0.13638,0.0641,0.02872,1.98236,3.65122,0.03775,0,0,14.8375,0,14.8375,0,0.0856977,0.147784,2.70949,2.70949,0,1,15.8442,15.6486,13.0197,0.00982675,0.00982675,0.00982675,0.00491338,0.0196535
9,1960.68,1.86266,3.10232,0.02698,0.9967,14.6795,0.19596,0.16916,0.10524,0.04977,1.92519,3.11251,0.0358,0,0,14.6795,0,14.6795,0,0.0847797,0.149981,2.70949,2.70949,0,1,15.6445,15.5119,12.8822,0.009802,0.009802,0.009802,0.004901,0.019604
10,2168.61,1.82573,3.02431,0.02622,0.99488,14.2235,0.19052,0.18276,0.11774,0.05657,1.91263,2.98861,0.03522,0,0,14.2235,0,14.2235,0,0.082147,0.148717,2.70949,2.70949,0,1,15.1604,14.9905,12.5194,0.00977725,0.00977725,0.00977725,0.00488863,0.0195545
