epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
33,6305.8,1.56082,2.17836,0.02103,0.99826,0.53421,0.4326,0.45448,0.27993,1.51351,1.82028,0.02552,0,0.009208,0.009208,0.009208,0.004604,0.018416
34,6504.33,1.57082,2.17726,0.02104,0.99838,0.53418,0.45354,0.46745,0.28999,1.50426,1.79664,0.02528,0,0.00918325,0.00918325,0.00918325,0.00459163,0.0183665
35,6701.96,1.56101,2.16417,0.02093,0.99836,0.53769,0.44623,0.46867,0.29215,1.49958,1.78746,0.02515,0,0.0091585,0.0091585,0.0091585,0.00457925,0.018317
36,6898.46,1.55191,2.15425,0.02084,0.99852,0.551,0.4452,0.47346,0.29522,1.48834,1.76882,0.02495,0,0.00913375,0.00913375,0.00913375,0.00456687,0.0182675
37,7085.29,1.55496,2.13461,0.02078,0.99867,0.56021,0.44847,0.48113,0.30222,1.48229,1.74566,0.02473,0,0.009109,0.009109,0.009109,0.0045545,0.018218
38,7282.1,1.5427,2.1295,0.02069,0.99855,0.55957,0.45359,0.48662,0.30567,1.47528,1.74964,0.02459,0,0.00908425,0.00908425,0.00908425,0.00454213,0.0181685
39,7482.01,1.54394,2.1164,0.02077,0.99861,0.54437,0.46732,0.48619,0.3057,1.47802,1.72921,0.02466,0,0.0090595,0.0090595,0.0090595,0.00452975,0.018119
40,7664.62,1.54659,2.11457,0.02061,0.99869,0.56277,0.46114,0.49232,0.31044,1.46472,1.7284,0.02432,0,0.00903475,0.00903475,0.00903475,0.00451737,0.0180695
41,7861.5,1.54047,2.11018,0.02058,0.99885,0.58125,0.4607,0.49804,0.31478,1.46151,1.7102,0.02424,0,0.00901,0.00901,0.00901,0.004505,0.01802
42,8057.93,1.55016,2.10686,0.02043,0.99872,0.56239,0.46834,0.50302,0.31767,1.45955,1.71008,0.02419,0,0.00898525,0.00898525,0.00898525,0.00449263,0.0179705
43,8257.06,1.54106,2.08591,0.02057,0.99907,0.56864,0.46858,0.50436,0.31937,1.46238,1.70195,0.02424,0,0.0089605,0.0089605,0.0089605,0.00448025,0.017921
44,8443.97,1.53486,2.07588,0.02044,0.99886,0.57495,0.47835,0.50938,0.32415,1.44717,1.69526,0.02386,0,0.00893575,0.00893575,0.00893575,0.00446788,0.0178715
45,8642.71,1.52608,2.07143,0.02022,0.99895,0.58765,0.47107,0.51161,0.32664,1.44447,1.67928,0.02384,0,0.008911,0.008911,0.008911,0.0044555,0.017822
46,8839.95,1.52209,2.06267,0.02035,0.999,0.58072,0.47838,0.51629,0.33095,1.43588,1.66432,0.02363,0,0.00888625,0.00888625,0.00888625,0.00444313,0.0177725
47,9021.26,1.53228,2.05055,0.02026,0.99894,0.58443,0.48258,0.52011,0.33416,1.43578,1.65478,0.0236,0,0.0088615,0.0088615,0.0088615,0.00443075,0.017723
48,9217.07,1.52879,2.04945,0.02023,0.99912,0.58757,0.48371,0.52485,0.33668,1.43621,1.64426,0.02358,0,0.00883675,0.00883675,0.00883675,0.00441838,0.0176735
49,9412.68,1.52859,2.03319,0.02026,0.99918,0.59682,0.48711,0.5263,0.33788,1.43272,1.64093,0.02347,0,0.008812,0.008812,0.008812,0.004406,0.017624
50,9607.79,1.52613,2.01967,0.02017,0.99908,0.59702,0.48266,0.52908,0.3398,1.43,1.6318,0.02344,0,0.00878725,0.00878725,0.00878725,0.00439362,0.0175745
51,9791,1.52053,2.03041,0.02009,0.9992,0.59845,0.49568,0.53402,0.34318,1.424,1.62796,0.02327,0,0.0087625,0.0087625,0.0087625,0.00438125,0.017525
52,9986.85,1.52169,2.01522,0.02002,0.99912,0.61025,0.48547,0.53569,0.34542,1.42262,1.62165,0.02325,0,0.00873775,0.00873775,0.00873775,0.00436888,0.0174755
53,10183.4,1.50814,2.01166,0.01993,0.99917,0.60401,0.4913,0.53771,0.34769,1.41968,1.61576,0.02322,0,0.008713,0.008713,0.008713,0.0043565,0.017426
54,10364.8,1.514,2.00008,0.01997,0.99926,0.59538,0.49777,0.53925,0.34893,1.41961,1.61198,0.02323,0,0.00868825,0.00868825,0.00868825,0.00434412,0.0173765
55,10560.1,1.51232,2.00515,0.01997,0.99932,0.59562,0.50135,0.54124,0.35055,1.41669,1.60365,0.02317,0,0.0086635,0.0086635,0.0086635,0.00433175,0.017327
56,10756,1.51101,1.98915,0.02006,0.99931,0.60104,0.5016,0.54295,0.3511,1.41532,1.60026,0.02317,0,0.00863875,0.00863875,0.00863875,0.00431938,0.0172775
57,10952.4,1.49951,1.9872,0.01975,0.99929,0.59977,0.50136,0.54425,0.35298,1.41067,1.59826,0.02304,0,0.008614,0.008614,0.008614,0.004307,0.017228
58,11138,1.49324,1.96885,0.01978,0.9995,0.60059,0.50197,0.54547,0.35433,1.41108,1.59069,0.02304,0,0.00858925,0.00858925,0.00858925,0.00429463,0.0171785
59,11329.3,1.50428,1.98812,0.01983,0.99921,0.60259,0.50213,0.54671,0.35562,1.40741,1.58986,0.02295,0,0.0085645,0.0085645,0.0085645,0.00428225,0.017129
60,11522.7,1.50219,1.97402,0.01967,0.99953,0.6124,0.50145,0.54961,0.35742,1.40538,1.58764,0.0229,0,0.00853975,0.00853975,0.00853975,0.00426988,0.0170795
61,11712.6,1.50234,1.96802,0.01977,0.99933,0.61056,0.50513,0.5505,0.35853,1.40298,1.58392,0.02286,0,0.008515,0.008515,0.008515,0.0042575,0.01703
62,11904.6,1.50014,1.95453,0.01967,0.9995,0.61331,0.50534,0.55272,0.35983,1.40128,1.57877,0.02282,0,0.00849025,0.00849025,0.00849025,0.00424513,0.0169805
63,12102.7,1.50137,1.96216,0.01969,0.99935,0.62446,0.50259,0.55437,0.36118,1.39905,1.5763,0.02275,0,0.0084655,0.0084655,0.0084655,0.00423275,0.016931
64,12301.3,1.50269,1.95317,0.01958,0.99947,0.61644,0.51008,0.55551,0.36185,1.39591,1.57631,0.02268,0,0.00844075,0.00844075,0.00844075,0.00422038,0.0168815
