epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,164.74,3.41838,4.97133,0.06719,1.61908,62.2001,0.0005,0.01087,1e-05,0,3.35819,107.346,0.08137,0,0,62.2001,0,62.2001,0,0.26401,0.335807,3.68593,3.68593,0,1,0.00332046,0.00332046,0.0701158,0.00166023,0.00664093
2,390.363,3.31618,4.86452,0.0641,1.02189,38.5123,0.00094,0.03933,0.0001,2e-05,3.08589,5.40694,0.0739,0,0,38.5123,0,38.5123,0,0.163426,0.21633,3.68593,3.68593,0,1,0.00663733,0.00663733,0.0400994,0.00331866,0.0132747
3,612.148,2.56351,4.39592,0.0436,0.99736,25.8133,0.00148,0.11422,0.00058,0.00012,3.05298,6.93536,0.07234,0,0,25.8133,0,25.8133,0,0.109575,0.18314,3.68593,3.68593,0,1,0.00993769,0.00993769,0.0100664,0.00496885,0.0198754
4,824.181,2.2558,4.01962,0.03527,0.99773,23.2238,0.28457,0.01835,0.00936,0.00287,2.32768,4.32652,0.04618,0,0,23.2238,0,23.2238,0,0.0985964,0.184221,3.68593,3.68593,0,1,0.00992575,0.00992575,0.00992575,0.00496288,0.0198515
5,1026.26,2.11459,3.75409,0.03241,0.99234,21.7701,0.19862,0.06715,0.02386,0.00901,2.13526,4.14638,0.04198,0,0,21.7701,0,21.7701,0,0.0924286,0.185061,3.68593,3.68593,0,1,0.009901,0.009901,0.009901,0.0049505,0.019802
6,1234.16,2.04524,3.54546,0.03078,0.99407,21.0563,0.14366,0.10068,0.04452,0.01758,2.11499,3.56206,0.04073,0,0,21.0563,0,21.0563,0,0.0893886,0.188299,3.68593,3.68593,0,1,0.00987625,0.00987625,0.00987625,0.00493813,0.0197525
7,1446.78,1.9678,3.36026,0.02932,0.9946,20.3153,0.23139,0.12795,0.07438,0.03423,2.0135,3.31721,0.03777,0,0,20.3153,0,20.3153,0,0.0862455,0.191063,3.68593,3.68593,0,1,0.0098515,0.0098515,0.0098515,0.00492575,0.019703
8,1655.5,1.92263,3.21072,0.02808,0.99406,19.6921,0.23194,0.15056,0.09356,0.0432,2.00028,3.21048,0.03738,0,0,19.6921,0,19.6921,0,0.0836051,0.193032,3.68593,3.68593,0,1,0.00982675,0.00982675,0.00982675,0.00491338,0.0196535
9,1867.94,1.89216,3.11606,0.02741,0.995,19.4005,0.21553,0.17913,0.10279,0.05076,1.91987,3.0803,0.03537,0,0,19.4005,0,19.4005,0,0.0823662,0.19535,3.68593,3.68593,0,1,0.009802,0.009802,0.009802,0.004901,0.019604
10,2075.14,1.85286,3.04261,0.02664,0.99579,19.0674,0.22971,0.18626,0.12814,0.0639,1.93736,2.96911,0.0358,0,0,19.0674,0,19.0674,0,0.0809504,0.196659,3.68593,3.68593,0,1,0.00977725,0.00977725,0.00977725,0.00488863,0.0195545
11,2291.75,1.83933,2.97002,0.0262,0.99551,18.7907,0.20883,0.19771,0.12796,0.0624,1.90968,3.16439,0.03537,0,0,18.7907,0,18.7907,0,0.0797778,0.197605,3.68593,3.68593,0,1,0.0097525,0.0097525,0.0097525,0.00487625,0.019505
12,2494.42,1.81471,2.8914,0.02576,0.99536,18.5311,0.2782,0.23181,0.16436,0.08423,1.84523,2.74141,0.03368,0,0,18.5311,0,18.5311,0,0.0786736,0.198972,3.68593,3.68593,0,1,0.00972775,0.00972775,0.00972775,0.00486388,0.0194555
13,2701.49,1.79483,2.8434,0.02538,0.99598,18.3841,0.28288,0.24128,0.19425,0.10382,1.81027,2.64967,0.0328,0,0,18.3841,0,18.3841,0,0.0780489,0.20068,3.68593,3.68593,0,1,0.009703,0.009703,0.009703,0.0048515,0.019406
14,2904.02,1.78097,2.78095,0.02513,0.99607,18.1794,0.32839,0.2448,0.20611,0.10938,1.82016,2.58356,0.03278,0,0,18.1794,0,18.1794,0,0.0771763,0.201641,3.68593,3.68593,0,1,0.00967825,0.00967825,0.00967825,0.00483913,0.0193565
15,3108.15,1.77229,2.74199,0.02489,0.99569,18.0147,0.29561,0.25081,0.20375,0.11098,1.77475,2.64191,0.0319,0,0,18.0147,0,18.0147,0,0.0764835,0.202273,3.68593,3.68593,0,1,0.0096535,0.0096535,0.0096535,0.00482675,0.019307
16,3311.66,1.75673,2.71037,0.0245,0.99631,17.9341,0.32053,0.27322,0.23171,0.12575,1.76932,2.54147,0.03178,0,0,17.9341,0,17.9341,0,0.0761387,0.203483,3.68593,3.68593,0,1,0.00962875,0.00962875,0.00962875,0.00481438,0.0192575
17,3514.99,1.74239,2.66686,0.02427,0.99665,17.8673,0.3308,0.27658,0.24468,0.13348,1.76337,2.46818,0.03158,0,0,17.8673,0,17.8673,0,0.075863,0.20531,3.68593,3.68593,0,1,0.009604,0.009604,0.009604,0.004802,0.019208
18,3723.72,1.72562,2.63689,0.02428,0.99689,17.7561,0.34743,0.29957,0.26236,0.14724,1.74735,2.39021,0.03103,0,0,17.7561,0,17.7561,0,0.0753832,0.206555,3.68593,3.68593,0,1,0.00957925,0.00957925,0.00957925,0.00478963,0.0191585
19,3928.23,1.71401,2.59085,0.02383,0.99727,17.6304,0.36291,0.29867,0.26814,0.14861,1.73536,2.37706,0.03091,0,0,17.6304,0,17.6304,0,0.0748599,0.207826,3.68593,3.68593,0,1,0.0095545,0.0095545,0.0095545,0.00477725,0.019109
20,4133.74,1.69751,2.5665,0.02357,0.99702,17.4771,0.35076,0.31457,0.27453,0.15472,1.69328,2.36202,0.02981,0,0,17.477,0,17.477,0,0.0741976,0.208115,3.68593,3.68593,0,1,0.00952975,0.00952975,0.00952975,0.00476488,0.0190595
21,4336.82,1.69482,2.54649,0.02346,0.99705,17.4347,0.38732,0.31968,0.29108,0.16727,1.67468,2.29014,0.02925,0,0,17.4347,0,17.4347,0,0.0740159,0.208917,3.68593,3.68593,0,1,0.009505,0.009505,0.009505,0.0047525,0.01901
22,4540.92,1.69376,2.52084,0.02335,0.99752,17.3595,0.37223,0.32768,0.29225,0.16587,1.68984,2.28591,0.02986,0,0,17.3595,0,17.3595,0,0.0737019,0.210075,3.68593,3.68593,0,1,0.00948025,0.00948025,0.00948025,0.00474013,0.0189605
23,4748.29,1.68,2.48278,0.02311,0.99745,17.2561,0.40243,0.3383,0.31864,0.18213,1.66563,2.21837,0.029,0,0,17.2561,0,17.2561,0,0.0732649,0.21099,3.68593,3.68593,0,1,0.0094555,0.0094555,0.0094555,0.00472775,0.018911
24,4951.43,1.66969,2.46916,0.02293,0.9976,17.1962,0.42962,0.34926,0.33287,0.192,1.64133,2.17476,0.02856,0,0,17.1962,0,17.1962,0,0.0730044,0.211841,3.68593,3.68593,0,1,0.00943075,0.00943075,0.00943075,0.00471537,0.0188615
25,5153.65,1.66225,2.42902,0.02297,0.99757,17.2045,0.4092,0.34827,0.32446,0.18827,1.6276,2.19153,0.02826,0,0,17.2045,0,17.2045,0,0.07304,0.214665,3.68593,3.68593,0,1,0.009406,0.009406,0.009406,0.004703,0.018812
26,5357.98,1.65941,2.43039,0.02271,0.99784,17.0947,0.43054,0.35363,0.34522,0.20173,1.63351,2.14882,0.02839,0,0,17.0947,0,17.0947,0,0.0725752,0.213312,3.68593,3.68593,0,1,0.00938125,0.00938125,0.00938125,0.00469063,0.0187625
27,5562.19,1.65043,2.39062,0.02254,0.99795,17.0015,0.4418,0.35681,0.34765,0.20324,1.63692,2.13128,0.02843,0,0,17.0015,0,17.0015,0,0.0721829,0.214616,3.68593,3.68593,0,1,0.0093565,0.0093565,0.0093565,0.00467825,0.018713
28,5767.09,1.65016,2.38584,0.02256,0.99807,16.9543,0.45474,0.36675,0.35834,0.21136,1.60012,2.10229,0.02762,0,0,16.9543,0,16.9543,0,0.071978,0.214436,3.68593,3.68593,0,1,0.00933175,0.00933175,0.00933175,0.00466587,0.0186635
29,5969.67,1.64137,2.37047,0.02231,0.99781,16.8947,0.4532,0.37508,0.36712,0.21777,1.59068,2.07192,0.02753,0,0,16.8947,0,16.8947,0,0.071725,0.215322,3.68593,3.68593,0,1,0.009307,0.009307,0.009307,0.0046535,0.018614
30,6171.76,1.62865,2.36446,0.02221,0.99829,17.0229,0.4725,0.37212,0.37235,0.22396,1.58406,2.04454,0.02721,0,0,17.0229,0,17.0229,0,0.0722774,0.217699,3.68593,3.68593,0,1,0.00928225,0.00928225,0.00928225,0.00464113,0.0185645
31,6375.22,1.64105,2.33751,0.02218,0.99808,16.7996,0.46651,0.38896,0.38592,0.23096,1.56949,2.01703,0.02683,0,0,16.7996,0,16.7996,0,0.0713226,0.215906,3.68593,3.68593,0,1,0.0092575,0.0092575,0.0092575,0.00462875,0.018515
32,6580.14,1.62481,2.32501,0.02208,0.99823,16.7627,0.49073,0.37919,0.38356,0.23128,1.5682,2.00861,0.02675,0,0,16.7627,0,16.7627,0,0.0711675,0.216968,3.68593,3.68593,0,1,0.00923275,0.00923275,0.00923275,0.00461637,0.0184655
33,6782.2,1.61132,2.30249,0.02197,0.99844,16.6817,0.48138,0.39305,0.39991,0.23984,1.55705,1.98852,0.02662,0,0,16.6817,0,16.6817,0,0.070826,0.217955,3.68593,3.68593,0,1,0.009208,0.009208,0.009208,0.004604,0.018416
34,7004.08,1.61539,2.30687,0.02186,0.99841,16.6147,0.49389,0.39794,0.40796,0.24674,1.55514,1.96053,0.02642,0,0,16.6147,0,16.6147,0,0.07054,0.216901,3.68593,3.68593,0,1,0.00918325,0.00918325,0.00918325,0.00459163,0.0183665
35,7214.25,1.61281,2.27871,0.02183,0.99845,16.5794,0.513,0.39622,0.41544,0.25348,1.54979,1.95447,0.02637,0,0,16.5794,0,16.5794,0,0.070386,0.217802,3.68593,3.68593,0,1,0.0091585,0.0091585,0.0091585,0.00457925,0.018317
36,7415.81,1.59754,2.27063,0.02166,0.9986,16.5831,0.49962,0.41376,0.42392,0.25972,1.54479,1.92809,0.02625,0,0,16.583,0,16.583,0,0.0704004,0.219537,3.68593,3.68593,0,1,0.00913375,0.00913375,0.00913375,0.00456687,0.0182675
37,7620.94,1.60175,2.25449,0.02161,0.99886,16.5458,0.51794,0.40203,0.42569,0.26032,1.54254,1.91464,0.02613,0,0,16.5457,0,16.5457,0,0.0702436,0.219971,3.68593,3.68593,0,1,0.009109,0.009109,0.009109,0.0045545,0.018218
38,7822.45,1.59378,2.24212,0.02156,0.99861,16.4588,0.5187,0.40947,0.42729,0.26268,1.53538,1.91244,0.02598,0,0,16.4588,0,16.4588,0,0.0698738,0.219842,3.68593,3.68593,0,1,0.00908425,0.00908425,0.00908425,0.00454213,0.0181685
