epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,6.52257,3.59532,5.59747,0.05705,2.9874,0.0629,0,0,0,0,3.60005,5.82374,0.067,0,0,0.0629034,0,0.0629034,0,0.314517,0.00403578,0.05,0.05,0,1,3.689e-05,3.689e-05,3.689e-05,1.8445e-05,7.378e-05
2,13.0923,3.67814,5.62657,0.05671,2.2537,0.06261,0,0,0,0,3.59915,5.82284,0.06717,0,0,0.0626051,0,0.0626051,0,0.313026,0.00421782,0.05,0.05,0,1,5.02299e-05,5.02299e-05,5.02299e-05,2.5115e-05,0.00010046
3,19.7117,3.64976,5.62256,0.05713,1.67003,0.06029,0,0,0,0,3.59582,5.81989,0.06731,0,0,0.0602908,0,0.0602908,0,0.301454,0.00426163,0.05,0.05,0,1,3.8437e-05,3.8437e-05,3.8437e-05,1.92185e-05,7.6874e-05
