epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,182.308,3.41982,5.15736,0.06734,1.62023,55.805,0.00033,0.02221,1e-05,0,3.72935,347.265,0.08908,0,0,55.805,0,55.805,0,0.261182,0.29808,3.34277,3.34277,0,1,0.00332046,0.00332046,0.0701158,0.00166023,0.00664093
2,369.664,3.25317,4.82266,0.06246,1.01991,32.1525,0.0019,0.04605,0.00024,6e-05,2.93708,5.07255,0.06912,0,0,32.1525,0,32.1525,0,0.150457,0.18453,3.34277,3.34277,0,1,0.00663733,0.00663733,0.0400994,0.00331866,0.0132747
3,552.664,2.36782,4.25014,0.03922,0.9949,22.5531,0.00163,0.13754,0.00081,0.00024,2.92757,27.5097,0.08003,0,0,22.5531,0,22.5531,0,0.105569,0.170485,3.34277,3.34277,0,1,0.00993769,0.00993769,0.0100664,0.00496885,0.0198754
4,742.773,2.10227,3.82189,0.03213,0.99783,20.3268,0.00737,0.18867,0.00257,0.00087,2.8084,5.20796,0.0632,0,0,20.3268,0,20.3268,0,0.095156,0.173327,3.34277,3.34277,0,1,0.00992575,0.00992575,0.00992575,0.00496288,0.0198515
5,933.338,1.98549,3.56042,0.02948,0.99742,18.9362,0.21213,0.08159,0.04163,0.01731,2.12589,3.85069,0.04061,0,0,18.9362,0,18.9362,0,0.088649,0.172862,3.34277,3.34277,0,1,0.009901,0.009901,0.009901,0.0049505,0.019802
6,1122.51,1.92874,3.38116,0.02831,0.99557,18.4471,0.19535,0.07583,0.04127,0.01775,2.12119,3.81099,0.04043,0,0,18.4471,0,18.4471,0,0.0863496,0.175677,3.34277,3.34277,0,1,0.00987625,0.00987625,0.00987625,0.00493813,0.0197525
7,1310.76,1.87018,3.2284,0.0273,0.99458,17.8162,0.20822,0.15434,0.08522,0.04013,1.90313,3.19863,0.03515,0,0,17.8162,0,17.8162,0,0.083404,0.176968,3.34277,3.34277,0,1,0.0098515,0.0098515,0.0098515,0.00492575,0.019703
8,1500.93,1.84217,3.09845,0.0265,0.99463,17.2934,0.22839,0.1616,0.10202,0.0494,1.93825,3.1463,0.03581,0,0,17.2934,0,17.2934,0,0.0809577,0.17731,3.34277,3.34277,0,1,0.00982675,0.00982675,0.00982675,0.00491338,0.0196535
9,1692.22,1.81108,2.99629,0.02592,0.99512,17.0607,0.25652,0.20281,0.13228,0.06586,1.82665,2.97905,0.03338,0,0,17.0607,0,17.0607,0,0.0798683,0.179976,3.34277,3.34277,0,1,0.009802,0.009802,0.009802,0.004901,0.019604
10,1882.14,1.77579,2.92017,0.02521,0.99597,16.689,0.24592,0.21641,0.15771,0.08145,1.84386,2.7773,0.03346,0,0,16.6889,0,16.6889,0,0.0781247,0.180395,3.34277,3.34277,0,1,0.00977725,0.00977725,0.00977725,0.00488863,0.0195545
