epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,255.926,3.41982,5.15626,0.06733,1.61898,57.8648,0.00067,0.0081,1e-05,0,3.40866,127.299,0.08133,0,0,57.8647,0,57.8647,0,0.291097,0.309156,3.11066,3.11066,0,1,0.00332046,0.00332046,0.0701158,0.00166023,0.00664093
2,528.301,3.32237,4.88389,0.06425,1.02239,38.7328,0.00107,0.03252,0.00013,3e-05,3.12919,5.09947,0.07425,0,0,38.7328,0,38.7328,0,0.194723,0.21657,3.11066,3.11066,0,1,0.00663733,0.00663733,0.0400994,0.00331866,0.0132747
3,797.387,2.58033,4.41737,0.0447,0.99681,15.9466,0.05436,0.033,0.0016,0.00036,2.60012,5.3747,0.05384,0,0,15.9466,0,15.9466,0,0.0802049,0.111205,3.11066,3.11066,0,1,0.00993769,0.00993769,0.0100664,0.00496885,0.0198754
4,1075.62,2.23247,4.03139,0.03528,0.99882,11.9753,0.30157,0.03059,0.01578,0.00502,2.27201,4.16528,0.0454,0,0,11.9753,0,11.9753,0,0.0602375,0.095175,3.11066,3.11066,0,1,0.00992575,0.00992575,0.00992575,0.00496288,0.0198515
5,1353.44,2.08138,3.72117,0.03183,0.99421,10.8711,0.23656,0.06893,0.03738,0.0147,2.1148,3.69968,0.04074,0,0,10.871,0,10.871,0,0.0546876,0.0935004,3.11066,3.11066,0,1,0.009901,0.009901,0.009901,0.0049505,0.019802
6,1634.16,2.0261,3.53521,0.03054,0.9941,10.3493,0.17642,0.0795,0.03116,0.01227,2.11147,4.43813,0.04026,0,0,10.3493,0,10.3493,0,0.0520766,0.0931039,3.11066,3.11066,0,1,0.00987625,0.00987625,0.00987625,0.00493813,0.0197525
7,1912.01,1.96957,3.39649,0.0295,0.99666,10.1451,0.12661,0.09626,0.01521,0.00608,2.11242,35.3951,0.04043,0,0,10.1451,0,10.1451,0,0.051033,0.0946705,3.11066,3.11066,0,1,0.0098515,0.0098515,0.0098515,0.00492575,0.019703
8,2191.19,1.92105,3.26136,0.02825,0.99251,9.69625,0.22131,0.14405,0.0875,0.04035,1.95194,3.21628,0.0368,0,0,9.69625,0,9.69625,0,0.0487822,0.0937891,3.11066,3.11066,0,1,0.00982675,0.00982675,0.00982675,0.00491338,0.0196535
9,2480.88,1.8862,3.16793,0.02763,0.993,9.39342,0.20508,0.16505,0.09211,0.04468,1.92789,3.22311,0.03574,0,0,9.39342,0,9.39342,0,0.0472591,0.0933132,3.11066,3.11066,0,1,0.009802,0.009802,0.009802,0.004901,0.019604
10,2758.3,1.85817,3.09439,0.02695,0.99421,9.18205,0.17383,0.16949,0.08578,0.03993,1.92414,3.1251,0.03566,0,0,9.18205,0,9.18205,0,0.0461923,0.0932861,3.11066,3.11066,0,1,0.00977725,0.00977725,0.00977725,0.00488863,0.0195545
11,3040.82,1.85254,3.0313,0.02669,0.99518,9.00449,0.17338,0.17585,0.1073,0.05129,1.9432,3.32575,0.03642,0,0,9.00448,0,9.00448,0,0.0452986,0.092792,3.11066,3.11066,0,1,0.0097525,0.0097525,0.0097525,0.00487625,0.019505
12,3312.09,1.82768,2.96,0.02625,0.99506,8.8863,0.2966,0.2008,0.14186,0.06836,1.87885,2.86089,0.03483,0,0,8.8863,0,8.8863,0,0.0447055,0.0933327,3.11066,3.11066,0,1,0.00972775,0.00972775,0.00972775,0.00486388,0.0194555
13,3590.83,1.80054,2.90981,0.02579,0.99527,8.7563,0.28428,0.22044,0.1729,0.0899,1.84075,2.74278,0.03338,0,0,8.75631,0,8.75631,0,0.0440499,0.0937158,3.11066,3.11066,0,1,0.009703,0.009703,0.009703,0.0048515,0.019406
14,3865.89,1.78841,2.84492,0.02551,0.99533,8.68326,0.28039,0.23238,0.17161,0.08769,1.83545,2.72325,0.0335,0,0,8.68326,0,8.68326,0,0.0436807,0.0945228,3.11066,3.11066,0,1,0.00967825,0.00967825,0.00967825,0.00483913,0.0193565
15,4148.3,1.76933,2.80842,0.02509,0.99605,8.59211,0.30035,0.24652,0.19653,0.10196,1.79513,2.64294,0.03252,0,0,8.59211,0,8.59211,0,0.0432237,0.094774,3.11066,3.11066,0,1,0.0096535,0.0096535,0.0096535,0.00482675,0.019307
16,4430.11,1.76135,2.77404,0.02475,0.99631,8.50985,0.26788,0.25233,0.19466,0.10366,1.80573,2.63151,0.03274,0,0,8.50984,0,8.50984,0,0.0428102,0.0950569,3.11066,3.11066,0,1,0.00962875,0.00962875,0.00962875,0.00481438,0.0192575
17,4712.83,1.73907,2.72754,0.02455,0.99669,8.43891,0.32012,0.27747,0.23226,0.12348,1.76803,2.54077,0.03178,0,0,8.4389,0,8.4389,0,0.0424524,0.0954952,3.11066,3.11066,0,1,0.009604,0.009604,0.009604,0.004802,0.019208
18,4996.48,1.7249,2.68736,0.02448,0.99663,8.41044,0.33035,0.27582,0.22872,0.12313,1.75426,2.49096,0.03144,0,0,8.41044,0,8.41044,0,0.0423069,0.0966527,3.11066,3.11066,0,1,0.00957925,0.00957925,0.00957925,0.00478963,0.0191585
19,5270.57,1.71185,2.64622,0.02397,0.99704,8.31867,0.34277,0.28371,0.23946,0.12771,1.77406,2.47121,0.03187,0,0,8.31866,0,8.31866,0,0.0418493,0.0967222,3.11066,3.11066,0,1,0.0095545,0.0095545,0.0095545,0.00477725,0.019109
20,5544.86,1.70108,2.60792,0.02375,0.99688,8.29962,0.33291,0.28552,0.24048,0.12938,1.77941,2.50984,0.03217,0,0,8.29961,0,8.29961,0,0.0417537,0.0976186,3.11066,3.11066,0,1,0.00952975,0.00952975,0.00952975,0.00476488,0.0190595
21,5829.64,1.6961,2.59826,0.02363,0.99702,8.25589,0.37477,0.30682,0.27135,0.15044,1.71033,2.37046,0.03024,0,0,8.25588,0,8.25588,0,0.0415308,0.097651,3.11066,3.11066,0,1,0.009505,0.009505,0.009505,0.0047525,0.01901
22,6102.85,1.6833,2.57233,0.02334,0.99734,8.21082,0.35786,0.31647,0.27935,0.15653,1.68973,2.31993,0.02985,0,0,8.21081,0,8.21081,0,0.0413093,0.0983332,3.11066,3.11066,0,1,0.00948025,0.00948025,0.00948025,0.00474013,0.0189605
23,6377.38,1.67364,2.53839,0.02319,0.99725,8.13796,0.38656,0.32994,0.29245,0.16484,1.68357,2.29148,0.0297,0,0,8.13795,0,8.13795,0,0.0409383,0.0982613,3.11066,3.11066,0,1,0.0094555,0.0094555,0.0094555,0.00472775,0.018911
24,6657.43,1.67732,2.50889,0.02323,0.99744,8.12703,0.39871,0.32855,0.30415,0.1732,1.67987,2.22717,0.02944,0,0,8.12703,0,8.12703,0,0.0408853,0.0989441,3.11066,3.11066,0,1,0.00943075,0.00943075,0.00943075,0.00471537,0.0188615
25,6937.57,1.65735,2.47548,0.02311,0.99784,8.07059,0.38428,0.34478,0.30684,0.17578,1.64154,2.20655,0.02874,0,0,8.07058,0,8.07058,0,0.0406006,0.0994281,3.11066,3.11066,0,1,0.009406,0.009406,0.009406,0.004703,0.018812
26,7215.66,1.65906,2.48043,0.02291,0.99753,8.00545,0.40003,0.34402,0.3244,0.18808,1.63868,2.17776,0.0285,0,0,8.00544,0,8.00544,0,0.0402721,0.0985368,3.11066,3.11066,0,1,0.00938125,0.00938125,0.00938125,0.00469063,0.0187625
27,7489.51,1.64257,2.44119,0.02257,0.99778,8.00653,0.42263,0.35833,0.3329,0.19272,1.63809,2.16137,0.02852,0,0,8.00652,0,8.00652,0,0.0402765,0.0999337,3.11066,3.11066,0,1,0.0093565,0.0093565,0.0093565,0.00467825,0.018713
28,7770.49,1.64966,2.42752,0.02273,0.99812,7.95709,0.43978,0.36226,0.34373,0.19959,1.61939,2.13172,0.0281,0,0,7.95709,0,7.95709,0,0.0400282,0.0995751,3.11066,3.11066,0,1,0.00933175,0.00933175,0.00933175,0.00466587,0.0186635
29,8058.8,1.64707,2.40895,0.02262,0.99786,7.92337,0.43337,0.36761,0.34995,0.20456,1.61118,2.09895,0.02785,0,0,7.92337,0,7.92337,0,0.0398585,0.0996595,3.11066,3.11066,0,1,0.009307,0.009307,0.009307,0.0046535,0.018614
